NAME,Year,Industry,Category,NAICS Code,BEA Line Code,BEA Employment,NAICS Employment
"Humphreys County, Tennessee",2031,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",700.8596159441373,700.8596159441373
"Humphreys County, Tennessee",2046,Health care and social assistance,BEA and NAICS,62,1600,799.8184463194647,912.5851078853422
"Humphreys County, Tennessee",2023,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,100.78571428571429,100.78571428571429
"Humphreys County, Tennessee",2041,Public Administration,NAICS,92,NA,0,942.2359061414767
"Humphreys County, Tennessee",2030,Transportation and warehousing,BEA and NAICS,48-49,800,530.2857142857143,583.571475475653
"Humphreys County, Tennessee",2049,Manufacturing,BEA and NAICS,31-33,500,1506.5357142857142,1506.5357142857142
"Humphreys County, Tennessee",2044,Accommodation and food services,BEA and NAICS,72,1800,816.2857142857143,816.2857142857143
"Humphreys County, Tennessee",2047,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",703.1357288332848,703.1357288332848
"Humphreys County, Tennessee",2047,Utilities,BEA and NAICS,22,300,18.95984870526622,33.5161198911532
"Humphreys County, Tennessee",2027,Total employment (number of jobs),BEA and NAICS,NA,10,9340.107142857143,9340.107142857143
"Humphreys County, Tennessee",2038,"Agriculture, forestry, fishing and hunting",BEA and NAICS,11,"70, 100",700.5429153331394,700.5429153331394
"Humphreys County, Tennessee",2031,Government,BEA,NA,2000,1235.7142857142858,0
"Humphreys County, Tennessee",2048,Other services (except government and government enterprises),BEA and NAICS,81,1900,965.7142857142857,965.7142857142857
"Humphreys County, Tennessee",2038,Educational services,BEA and NAICS,61,1500,126.15682281059063,245.00493057020577
"Humphreys County, Tennessee",2027,"Professional, scientific, and technical services",BEA and NAICS,54,1200,215.96428571428572,215.96428571428572
"Humphreys County, Tennessee",2023,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,75.89285714285714,75.89285714285714
"Humphreys County, Tennessee",2030,Public Administration,NAICS,92,NA,0,889.6908847597923
"Humphreys County, Tennessee",2024,Real estate and rental and leasing,BEA and NAICS,53,1100,230.21428571428572,230.21428571428572
"Humphreys County, Tennessee",2039,Other services (except government and government enterprises),BEA and NAICS,81,1900,808.9285714285714,808.9285714285714
"Humphreys County, Tennessee",2038,Construction,BEA and NAICS,23,400,865.1428571428571,939.0052449309449
"Humphreys County, Tennessee",2027,Real estate and rental and leasing,BEA and NAICS,53,1100,228.53571428571428,228.53571428571428
"Humphreys County, Tennessee",2044,Administrative and support and waste management and remediation services,BEA and NAICS,56,1400,552.6428571428571,552.6428571428571
"Humphreys County, Tennessee",2041,Transportation and warehousing,BEA and NAICS,48-49,800,583.4285714285714,642.0543927377604
"Humphreys County, Tennessee",2031,Manufacturing,BEA and NAICS,31-33,500,1551.1785714285713,1551.1785714285713
"Humphreys County, Tennessee",2022WP,Management of companies and enterprises,BEA and NAICS,55,1300,0.0,0.0
"Humphreys County, Tennessee",2041,Real estate and rental and leasing,BEA and NAICS,53,1100,200.03571428571428,200.03571428571428
"Humphreys County, Tennessee",2048,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,74.21428571428571,74.21428571428571
"Humphreys County, Tennessee",2024,"Mining, quarrying, and oil and gas extraction",BEA and NAICS,21,200,91.57142857142858,91.57142857142858
"Humphreys County, Tennessee",2022BL,"Arts, entertainment, and recreation",BEA and NAICS,71,1700,75.0,75.0
"Humphreys County, Tennessee",2034,Utilities,BEA and NAICS,22,300,16.785859761419843,29.673068439811274
"Humphreys County, Tennessee",2034,Information,BEA and NAICS,51,900,37.57142857142857,37.57142857142857
"Humphreys County, Tennessee",2031,Finance and insurance,BEA and NAICS,52,1000,319.92857142857144,319.92857142857144
"Humphreys County, Tennessee",2049,Government,BEA,NA,2000,1397.142857142857,0
"Humphreys County, Tennessee",2026,Real estate and rental and leasing,BEA and NAICS,53,1100,229.42857142857144,229.42857142857144
"Humphreys County, Tennessee",2044,Finance and insurance,BEA and NAICS,52,1000,400.7142857142857,400.7142857142857
"Humphreys County, Tennessee",2036,Public Administration,NAICS,92,NA,0,918.4674102286831
"Humphreys County, Tennessee",2048,Utilities,BEA and NAICS,22,300,18.97323247017748,33.53977893381403
"Humphreys County, Tennessee",2032,Government,BEA,NA,2000,1243.5714285714287,0
"Humphreys County, Tennessee",2033,Finance and insurance,BEA and NAICS,52,1000,334.35714285714283,334.35714285714283
"Humphreys County, Tennessee",2046,Retail trade,BEA and NAICS,44-45,700,971.0,971.0
"Humphreys County, Tennessee",2043,Government,BEA,NA,2000,1342.0,0
"Humphreys County, Tennessee",2038,Retail trade,BEA and NAICS,44-45,700,974.0,974.0
